,Place Name,Place ID,Latitude,Longitude,local_area
0,"Nsik Motors Limited (Aktc), Ojuelegba",ChIJUfyQkEaMOxARBYOvDbpts74,6.510032000000001,3.3623336,"G966+2W Lagos, Nigeria"
1,Dolphin Gate,ChIJYWvUoTeLOxARR3OkvYoyHvI,6.457813000000001,3.41074,"FC56+47 Ikoyi, Nigeria"
2,Inner Marina/CMS,ChIJxS1XSj6LOxARbRaxl4laBuA,6.457511999999999,3.400762,"FC52+28 Lagos, Nigeria"
3,Adeniji Adele Bus Stop,ChIJ_UHHgWyLOxARLTqX-nAxMaA,6.462838000000001,3.394257,"F97V+4P Lagos Island, Nigeria"
4,Sura Bus Stop,ChIJ90BqHz2LOxARPFL9GK1GFpA,6.45111,3.401666,"FC22+CM Lagos Island, Nigeria"
5,Obalende Park,ChIJDUpwsDqLOxARod3MFKQoj-M,6.450294,3.408722999999999,"FC25+4F Ikoyi, Nigeria"
6,Obalende,ChIJn0heLSWLOxAR1sM60pUPHh0,6.449595999999999,3.407559,"CCX5+R2 Lagos Island, Nigeria"
7,Radio Bus Stop,ChIJO-Z5iDGLOxARifmRSriOehM,6.451606,3.414387,"FC27+JQ Ikoyi, Nigeria"
8,Glover Street,ChIJ-4LgrheLOxARsyUG1fgufL0,6.451914999999999,3.397248,"F92W+QV Lagos Island, Nigeria"
9,Sangrouse,ChIJy94FWT2LOxARcXVRWekIvxU,6.450579,3.399566,"F92X+6R Lagos Island, Nigeria"
10,Maja Bus Stop,ChIJMx4Z2CSLOxARoOcOQZ_JQyM,6.448986,3.406872,"CCX4+HP Lagos Island, Nigeria"
11,Passport Office,ChIJp5iVIDOLOxARkXnxtrU_Zmc,6.452331000000001,3.418523,"FC29+WC Ikoyi, Nigeria"
12,Secretariat,ChIJb6PH6cz0OxARtXRdhTLGGkg,6.453125,3.420887,"FC3C+69 Ikoyi, Nigeria"
13,Tom Jones,ChIJv9aIEw2LOxARJ0iBHAbh24o,6.458762000000001,3.387823,"F95Q+G4 Lagos Island, Nigeria"
14,Idumota,ChIJX96Q_XKLOxARFyDIl3F37X4,6.462663000000001,3.386823,"F97P+3P Lagos Island, Nigeria"
15,Idumagbo,ChIJL_ffEA2LOxARDaCstYqFevI,6.458703000000001,3.387555,"F95Q+F2 Lagos Island, Nigeria"
